source	Destination	Price	total cost
San Antonio, TX	Los Angeles, CA	674	
San Antonio, TX	Phoenix, AZ	668	
San Antonio, TX	Nashville, TN	664	
San Antonio, TX	San Diego, CA	649	
San Antonio, TX	Albuquerque, NM	631	
San Antonio, TX	Tucson, AZ	623	
San Antonio, TX	New York, NY	609	
San Antonio, TX	Memphis, TN	563	
San Antonio, TX	Milwaukee, WI	563	
San Antonio, TX	Jacksonville, FL	549	
San Antonio, TX	Chicago, IL	540	
San Antonio, TX	El Paso, TX	525	
San Antonio, TX	Oklahoma City, OK	269	
San Antonio, TX	Dallas, TX	180	
San Antonio, TX	Fort Worth, TX	176	
San Antonio, TX	Houston, TX	148	
San Antonio, TX	Austin, TX	120	21905
Portland, OR	Boston, MA	1182	
Portland, OR	Jacksonville, FL	1147	
Portland, OR	Philadelphia, PA	1112	
Portland, OR	New York, NY	1110	
Portland, OR	Baltimore, MD	1087	
Portland, OR	Washington, DC	1084	
Portland, OR	Charlotte, NC	1075	
Portland, OR	Houston, TX	1059	
Portland, OR	Austin, TX	1024	
Portland, OR	San Antonio, TX	1023	
Portland, OR	Columbus, OH	985	
Portland, OR	Nashville, TN	971	
Portland, OR	Detroit, MI	969	
Portland, OR	Memphis, TN	962	
Portland, OR	Louisville, KY	958	
Portland, OR	Dallas, TX	952	
Portland, OR	Fort Worth, TX	944	
Portland, OR	Indianapolis, IN	937	
Portland, OR	Chicago, IL	894	
Portland, OR	Milwaukee, WI	879	
Portland, OR	Oklahoma City, OK	840	
Portland, OR	Tucson, AZ	834	
Portland, OR	Phoenix, AZ	791	
Portland, OR	Denver, CO	699	
Portland, OR	San Diego, CA	639	
Portland, OR	Fresno, CA	622	
Portland, OR	Los Angeles, CA	593	
Portland, OR	El Paso, TX	528	
Portland, OR	San Jose, CA	508	
Portland, OR	San Francisco, CA	493	
Portland, OR	Albuquerque, NM	473	
Portland, OR	Las Vegas, NV	335	
Portland, OR	Seattle, WA	150	27859
Phoenix, AZ	Seattle, WA	1436	
Phoenix, AZ	Portland, OR	1384	
Phoenix, AZ	Boston, MA	1267	
Phoenix, AZ	New York, NY	1188	
Phoenix, AZ	Detroit, MI	1184	
Phoenix, AZ	Philadelphia, PA	1166	
Phoenix, AZ	Baltimore, MD	1151	
Phoenix, AZ	Milwaukee, WI	1145	
Phoenix, AZ	Columbus, OH	1134	
Phoenix, AZ	Washington, DC	1123	
Phoenix, AZ	Chicago, IL	1104	
